frame_no,x,y,w,h,center_x,center_y
97,420,201,35,86,437,244
98,419,200,35,84,436,242
99,417,200,35,83,434,241
100,416,199,35,82,433,240
101,415,199,35,83,432,240
102,414,198,35,84,431,240
103,413,198,36,85,431,240
104,413,198,36,86,431,241
105,412,197,35,86,429,240
106,411,197,35,86,428,240
107,410,196,35,86,427,239
108,409,196,35,86,426,239
109,408,197,32,83,424,238
110,407,198,30,81,422,238
111,406,196,32,83,422,237
112,406,195,35,86,423,238
113,406,195,35,86,423,238
114,407,196,35,86,424,239
115,407,197,35,86,424,240
116,408,198,35,86,425,241
117,412,198,34,85,429,240
118,417,198,32,83,433,239
119,422,198,31,82,437,239
120,427,199,30,81,442,239
121,429,197,31,82,444,238
122,431,195,32,83,447,236
123,433,193,34,85,450,235
124,436,192,35,86,453,235
125,439,191,35,86,456,234
126,443,190,35,86,460,233
127,447,189,35,86,464,232
128,451,189,35,86,468,232
129,458,190,32,83,474,231
130,465,191,29,80,479,231
131,466,188,32,83,482,229
132,467,185,35,86,484,228
133,469,184,35,86,486,227
134,471,184,35,86,488,227
135,473,183,35,86,490,226
136,475,183,35,86,492,226
137,477,182,34,84,494,224
138,480,181,34,82,497,222
139,482,180,33,81,498,220
140,485,180,33,79,501,219
141,486,179,33,81,502,219
142,486,179,34,82,503,220
143,487,179,34,84,504,221
144,488,179,35,86,505,222
145,489,178,35,86,506,221
146,491,178,35,86,508,221
147,492,177,35,86,509,220
148,494,177,35,86,511,220
149,499,178,33,83,515,219
150,505,180,32,81,521,220
151,502,177,33,83,518,218
152,500,175,35,86,517,218
153,501,174,35,86,518,217
154,503,174,35,86,520,217
155,505,174,35,86,522,217
156,507,174,35,86,524,217
157,506,174,34,84,523,216
158,505,174,33,83,521,215
159,504,174,32,82,520,215
160,503,174,32,80,519,214
161,499,174,33,81,515,214
162,495,174,33,83,511,215
163,491,174,34,84,508,216
164,488,175,35,85,505,217
165,483,175,35,85,500,217
166,479,175,35,85,496,217
167,474,175,35,85,491,217
168,470,175,35,85,487,217
169,465,174,34,82,482,215
170,460,174,32,79,476,213
171,455,174,34,82,472,215
172,451,175,35,85,468,217
173,449,174,35,85,466,216
174,447,173,35,85,464,215
175,445,172,35,85,462,214
176,444,171,35,85,461,213
177,443,170,33,83,459,211
178,443,170,32,81,459,210
179,442,169,30,80,457,209
180,442,169,29,78,456,208
181,440,168,30,80,455,208
182,439,167,32,81,455,207
183,437,166,33,83,453,207
184,436,165,35,85,453,207
185,435,165,35,85,452,207
186,434,165,35,85,451,207
187,433,165,35,85,450,207
188,433,166,35,85,450,208
189,433,166,34,82,450,207
190,433,167,33,80,449,207
191,431,167,34,82,448,208
192,430,167,35,84,447,209
193,431,168,35,84,448,210
194,432,169,35,84,449,211
195,433,170,35,84,450,212
196,434,171,35,84,451,213
197,436,172,33,82,452,213
198,439,173,32,81,455,213
199,441,175,30,79,456,214
200,444,176,29,77,458,214
201,447,177,30,79,462,216
202,449,179,32,81,465,219
203,452,180,33,82,468,221
204,455,182,35,84,472,224
205,457,182,35,84,474,224
206,460,182,35,84,477,224
207,462,182,35,84,479,224
208,465,182,35,84,482,224
209,473,184,32,80,489,224
210,481,186,29,76,495,224
211,478,184,32,80,494,224
212,475,183,35,84,492,225
213,477,183,35,84,494,225
214,480,183,35,83,497,224
215,482,183,35,83,499,224
216,485,184,35,83,502,225
217,489,184,33,81,505,224
218,493,185,32,80,509,225
219,497,186,30,78,512,225
220,501,187,28,76,515,225
221,501,186,30,78,516,225
222,501,184,32,80,517,224
223,501,183,33,81,517,223
224,501,182,35,83,518,223
225,502,181,35,82,519,222
226,504,181,35,82,521,222
227,505,180,35,82,522,221
228,507,180,35,82,524,221
229,509,183,33,78,525,222
230,511,187,31,74,526,224
231,512,182,33,79,528,221
232,513,177,35,83,530,218
233,514,176,35,82,531,217
234,516,176,35,82,533,217
235,517,175,35,82,534,216
236,519,175,35,82,536,216
237,520,174,34,80,537,214
238,522,174,34,78,539,213
239,523,173,33,77,539,211
240,525,173,33,75,541,210
241,527,172,33,76,543,210
242,528,171,33,78,544,210
243,530,170,34,80,547,210
244,532,170,34,82,549,211
245,533,169,34,82,550,210
246,535,169,34,82,552,210
247,536,168,34,82,553,209
248,538,168,34,82,555,209
249,541,168,32,79,557,207
250,545,169,30,76,560,207
251,544,167,32,79,560,206
252,544,165,34,82,561,206
253,546,164,34,82,563,205
254,548,164,34,82,565,205
255,550,163,34,82,567,204
256,553,163,34,82,570,204
257,556,162,33,80,572,202
258,559,162,32,79,575,201
259,562,162,31,77,577,200
260,565,162,30,76,580,200
261,567,161,31,77,582,199
262,568,160,32,79,584,199
263,570,159,33,80,586,199
264,572,158,34,82,589,199
265,572,157,34,82,589,198
266,573,157,34,82,590,198
267,574,156,34,82,591,197
268,575,156,34,82,592,197
269,580,156,31,78,595,195
270,586,156,28,74,600,193
271,582,154,31,78,597,193
272,578,153,34,82,595,194
273,576,152,34,82,593,193
274,574,152,34,82,591,193
275,572,151,34,82,589,192
276,570,151,34,82,587,192
277,567,151,32,80,583,191
278,565,151,31,78,580,190
279,562,151,30,76,577,189
280,560,151,28,74,574,188
281,557,150,30,76,572,188
282,555,148,31,78,570,187
283,552,147,32,80,568,187
284,550,146,34,82,567,187
285,550,145,34,82,567,186
286,550,144,34,82,567,185
287,550,143,34,82,567,184
288,551,142,34,82,568,183
289,551,143,30,78,566,182
290,552,144,26,75,565,181
291,552,141,30,78,567,180
292,552,138,34,82,569,179
293,552,136,33,80,568,176
294,552,134,32,79,568,173
295,552,132,32,78,568,171
296,552,131,31,76,567,169
297,554,133,31,75,569,170
298,554,133,31,75,569,170
299,555,133,30,75,570,170
300,556,133,30,75,571,170
301,555,132,31,77,570,170
302,555,131,31,78,570,170
303,554,130,32,80,570,170
304,554,129,33,82,570,170
305,552,129,33,82,568,170
306,550,130,33,82,566,171
307,549,131,33,82,565,172
308,546,131,32,81,562,171
309,548,134,31,77,563,172
310,550,137,29,73,564,173
311,549,137,31,77,564,175
312,549,137,33,82,565,178
313,550,137,33,82,566,178
314,551,137,33,82,567,178
315,552,137,33,82,568,178
316,554,137,33,82,570,178
317,556,137,33,80,572,177
318,559,137,32,78,575,176
319,562,138,32,75,578,175
320,565,138,32,73,581,174
321,566,137,32,75,582,174
322,567,137,32,77,583,175
323,568,136,32,79,584,175
324,569,136,33,81,585,176
325,570,135,33,81,586,175
326,572,135,33,81,588,175
327,574,135,33,82,590,176
328,576,135,33,82,592,176
329,581,138,30,77,596,176
330,587,141,28,73,601,177
331,585,138,30,77,600,176
332,584,135,33,81,600,175
333,583,136,33,81,599,176
334,583,137,33,81,599,177
335,583,138,33,81,599,178
336,583,140,33,81,599,180
337,582,142,32,79,598,181
338,581,144,32,77,597,182
339,580,146,32,75,596,183
340,580,148,31,74,595,185
341,579,149,31,75,594,186
342,579,151,31,77,594,189
343,578,152,31,79,593,191
344,578,154,32,81,594,194
345,577,155,32,80,593,195
346,577,156,32,80,593,196
347,577,157,32,80,593,197
348,577,158,32,80,593,198
349,579,158,30,77,594,196
350,581,158,28,73,595,194
351,579,159,29,74,593,196
352,578,159,30,75,593,196
353,577,160,31,76,592,198
354,579,163,31,75,594,200
355,577,161,30,75,592,198
356,574,164,32,80,590,204
357,573,165,31,78,588,204
358,573,167,31,77,588,205
359,573,168,31,76,588,206
360,573,170,30,75,588,207
361,572,169,30,76,587,207
362,571,168,30,77,586,206
363,570,167,31,78,585,206
364,570,166,31,80,585,206
365,569,166,31,80,584,206
366,569,166,31,80,584,206
367,568,166,31,80,583,206
368,568,166,31,80,583,206
369,571,166,30,78,586,205
370,574,167,30,76,589,205
371,577,167,30,75,592,204
372,581,166,30,75,596,203
373,582,164,30,76,597,202
374,584,162,30,77,599,200
375,586,160,31,78,601,199
376,588,158,31,80,603,198
377,590,157,30,78,605,196
378,593,156,29,77,607,194
379,595,156,28,75,609,193
380,598,155,27,73,611,191
381,597,155,28,74,611,192
382,596,154,29,76,610,192
383,595,154,30,77,610,192
384,595,154,31,78,610,193
385,594,154,31,77,609,192
386,594,154,30,77,609,192
387,594,154,30,76,609,192
388,594,155,30,76,609,193
389,594,156,29,74,608,193
390,595,158,29,72,609,194
391,593,157,29,74,607,194
392,592,156,30,75,607,193
393,592,155,30,75,607,192
394,593,155,30,75,608,192
395,594,154,30,75,609,191
396,595,154,30,75,610,191
397,596,154,30,74,611,191
398,598,155,30,73,613,191
399,600,156,29,72,614,192
400,602,157,29,71,616,192
401,602,154,30,73,617,190
402,602,152,30,75,617,189
403,602,149,31,77,617,187
404,603,147,31,79,618,186
405,603,147,31,78,618,186
406,603,148,31,78,618,187
407,603,148,31,78,618,187
408,603,149,31,78,618,188
409,603,151,29,74,617,188
410,604,153,28,71,618,188
411,603,151,29,75,617,188
412,603,150,31,79,618,189
413,603,150,31,78,618,189
414,603,151,31,78,618,190
415,603,151,31,78,618,190
416,603,152,31,78,618,191
417,603,153,30,76,618,191
418,603,155,29,75,617,192
419,603,156,28,74,617,193
420,603,158,27,73,616,194
421,603,157,28,74,617,194
422,603,156,29,75,617,193
423,603,155,30,77,618,193
424,603,155,31,78,618,194
425,603,155,31,78,618,194
426,603,156,31,78,618,195
427,603,156,31,78,618,195
428,603,157,31,78,618,196
429,603,157,31,78,618,196
430,603,157,31,78,618,196
431,603,157,31,78,618,196
432,603,158,31,78,618,197
433,601,158,31,78,616,197
434,600,158,31,78,615,197
435,598,158,31,78,613,197
436,597,159,31,78,612,198
437,595,159,31,76,610,197
438,593,160,30,73,608,196
439,591,161,30,71,606,196
440,590,162,30,69,605,196
441,588,161,30,71,603,196
442,586,160,30,73,601,196
443,584,159,30,76,599,197
444,582,159,31,78,597,198
445,580,159,31,78,595,198
446,578,159,31,78,593,198
447,576,159,31,78,591,198
448,574,159,31,78,589,198
449,573,162,29,74,587,199
450,572,165,28,71,586,200
451,570,164,29,72,584,200
452,569,164,30,73,584,200
453,569,164,30,72,584,200
454,569,164,30,71,584,199
455,569,164,30,71,584,199
456,569,165,30,70,584,200
457,570,164,29,70,584,199
458,571,164,28,70,585,199
459,572,163,27,70,585,198
460,573,163,26,70,586,198
461,572,161,27,72,585,197
462,571,160,28,73,585,196
463,570,159,30,74,585,196
464,570,158,31,76,585,196
465,570,159,30,75,585,196
466,570,161,30,74,585,198
467,570,163,30,73,585,199
468,570,165,30,72,585,201
469,571,165,29,72,585,201
470,571,165,28,72,585,201
471,569,165,29,73,583,201
472,567,166,30,73,582,202
473,566,166,30,73,581,202
474,565,166,30,73,580,202
475,564,166,30,74,579,203
476,564,167,30,74,579,204
477,563,168,30,73,578,204
478,562,169,29,72,576,205
479,561,170,29,71,575,205
480,561,171,29,71,575,206
481,561,170,29,72,575,206
482,562,169,30,73,577,205
483,563,168,30,74,578,205
484,564,167,31,75,579,204
485,565,166,31,75,580,203
486,566,166,31,75,581,203
487,567,166,31,75,582,203
488,568,166,31,75,583,203
489,570,166,29,73,584,202
490,573,166,27,70,586,201
491,572,165,28,70,586,200
492,572,165,31,76,587,203
493,573,165,30,74,588,202
494,574,166,30,72,589,202
495,575,167,30,71,590,202
496,574,165,30,73,589,201
497,574,167,30,72,589,203
498,575,169,30,72,590,205
499,575,168,29,71,589,203
500,575,167,29,71,589,202
501,574,166,29,71,588,201
502,574,164,29,71,588,199
503,574,163,29,71,588,198
504,574,162,29,72,588,198
505,574,162,29,72,588,198
506,573,162,30,72,588,198
507,575,161,30,73,590,197
508,577,161,30,73,592,197
509,579,162,29,71,593,197
510,582,163,28,69,596,197
511,583,160,29,72,597,196
512,584,157,30,75,599,194
513,585,155,30,73,600,191
514,585,153,30,72,600,189
515,585,152,31,73,600,188
516,586,150,31,73,601,186
517,586,150,30,72,601,186
518,587,151,29,70,601,186
519,588,151,28,69,602,185
520,589,151,27,68,602,185
521,587,151,28,70,601,186
522,585,151,29,71,599,186
523,583,151,30,73,598,187
524,582,151,31,75,597,188
525,577,153,30,73,592,189
526,576,152,31,74,591,189
527,575,151,31,74,590,188
528,574,150,31,75,589,187
529,572,151,28,71,586,186
530,571,152,25,67,583,185
531,568,150,28,71,582,185
532,566,149,31,75,581,186
533,562,149,30,74,577,186
534,559,150,29,72,573,186
535,559,149,30,73,574,185
536,560,148,31,74,575,185
537,561,147,29,73,575,183
538,562,146,28,71,576,181
539,563,145,27,70,576,180
540,564,145,26,69,577,179
541,562,143,27,70,575,178
542,561,142,28,71,575,177
543,559,141,29,73,573,177
544,558,140,31,74,573,177
545,556,139,31,69,571,173
546,556,139,31,71,571,174
547,556,139,31,72,571,175
548,556,139,31,74,571,176
549,558,140,29,71,572,175
550,560,142,28,68,574,176
551,558,141,29,71,572,176
552,554,138,31,74,569,175
553,556,140,30,71,571,175
554,555,139,30,72,570,175
555,554,138,30,73,569,174
556,553,137,30,74,568,174
557,553,138,29,72,567,174
558,554,138,28,71,568,173
559,555,138,27,71,568,173
560,557,139,25,70,569,174
561,554,140,25,70,566,175
562,555,142,27,71,568,177
563,557,144,28,72,571,180
564,559,146,30,73,574,182
565,560,145,30,73,575,181
566,561,145,30,73,576,181
567,562,145,30,73,577,181
568,564,145,30,73,579,181
569,566,144,29,70,580,179
570,568,144,27,68,581,178
571,568,143,29,70,582,178
572,569,143,30,73,584,179
573,569,143,30,73,584,179
574,569,143,30,73,584,179
575,569,143,30,73,584,179
576,570,144,30,73,585,180
577,570,146,28,72,584,182
578,571,149,27,71,584,184
579,571,151,26,70,584,186
580,572,154,25,68,584,188
581,571,153,26,69,584,187
582,570,151,27,71,583,186
583,569,150,28,72,583,186
584,568,149,30,73,583,185
585,567,150,30,73,582,186
586,566,152,30,73,581,188
587,565,153,30,73,580,189
588,565,155,30,73,580,191
589,565,157,29,69,579,191
590,565,160,29,66,579,193
591,565,157,29,69,579,191
592,565,154,30,72,580,190
593,563,157,30,72,578,193
594,564,157,30,72,579,193
595,565,157,30,72,580,193
596,566,157,30,72,581,193
597,567,159,29,70,581,194
598,568,162,28,69,582,196
599,569,164,27,68,582,198
600,571,167,26,67,584,200
601,571,167,27,68,584,201
602,572,167,27,69,585,201
603,573,167,28,71,587,202
604,574,168,29,72,588,204
605,575,168,29,72,589,204
606,576,168,29,72,590,204
607,577,168,29,72,591,204
608,578,168,29,72,592,204
609,577,170,29,70,591,205
610,577,172,28,67,591,205
611,579,170,29,70,593,205
612,581,168,29,72,595,204
613,582,168,29,72,596,204
614,583,168,29,72,597,204
615,584,168,29,72,598,204
616,586,169,29,72,600,205
617,587,169,29,70,601,204
618,589,170,29,69,603,204
619,590,171,29,67,604,204
620,592,172,28,66,606,205
621,593,171,28,67,607,204
622,594,171,29,69,608,205
623,595,171,29,70,609,206
624,597,171,29,72,611,207
625,597,171,29,72,611,207
626,598,171,29,72,612,207
627,599,171,29,72,613,207
628,600,171,29,72,614,207
629,601,173,28,69,615,207
630,603,175,28,67,617,208
631,603,173,28,69,617,207
632,603,171,28,72,617,207
633,602,170,28,72,616,206
634,602,169,28,71,616,204
635,601,168,28,71,615,203
636,601,168,28,71,615,203
637,600,167,28,71,614,202
638,599,166,28,71,613,201
639,598,165,28,71,612,200
640,598,165,28,71,612,200
641,598,165,28,71,612,200
642,599,166,28,71,613,201
643,600,166,28,71,614,201
644,601,167,28,71,615,202
645,603,167,28,71,617,202
646,605,167,28,71,619,202
647,607,167,28,71,621,202
648,609,167,28,71,623,202
649,610,165,28,70,624,200
650,612,164,27,69,625,198
651,615,165,27,69,628,199
652,618,165,26,70,631,200
